annotation_id,source,doc_index,n_chars,n_sentences,topic,quality_1_10,cleaning_ok,private,harmful,notes
1,c4,2263,3456,35,blog post,7,yes,no,no,
2,finepdfs,233,26425,226,product page,7,yes,no,no,
3,c4,2254,1494,22,nav menu,2,no,no,no,mixed search results and unrelated content fragments
4,c4,2255,725,7,product page,5,yes,no,no,
5,finepdfs,207,3317,34,medical guide,7,yes,no,no,
6,fineweb,938,3542,38,news article,7,yes,no,no,
7,fineweb,913,800,8,news article,6,yes,no,no,
8,c4,2260,981,9,product page,4,yes,no,no,
9,fineweb,927,879,7,forum post,6,yes,no,no,
10,c4,2253,827,9,blog post,5,no,no,no,two unrelated topics merged
11,fineweb,931,4439,45,news article,7,yes,no,no,
12,fineweb,922,5583,43,event listing,6,yes,no,no,
13,finepdfs,226,1555,8,form,5,yes,no,no,
14,c4,2266,512,4,nav menu,3,no,no,no,website nav/UI fragment
15,finepdfs,225,409,1,product page,5,yes,no,no,
16,c4,2280,6212,46,academic page,7,yes,no,no,
17,finepdfs,223,38292,6,academic paper,6,yes,yes,no,seniority list with full faculty names and hire dates
18,finepdfs,215,26663,9,government doc,6,yes,yes,no,candidate names in government selection list
19,c4,2269,479,5,product page,6,yes,no,no,
20,finepdfs,204,6403,50,academic paper,6,yes,no,no,
21,finepdfs,229,13208,86,academic paper,8,yes,no,no,
22,c4,2267,397,3,forum post,5,yes,no,no,
23,finepdfs,219,9080,5,financial doc,5,yes,no,no,
24,finepdfs,206,37749,225,academic paper,7,yes,no,no,German language
25,c4,2272,496,4,technical guide,6,yes,no,no,
26,c4,2259,3040,24,blog post,7,yes,no,no,
27,c4,2282,3184,33,product page,6,yes,no,no,
28,fineweb,920,775,6,blog post,6,yes,no,no,
29,finepdfs,211,18746,18,nav menu,2,no,no,no,"website UI/nav fragment, leftover login elements"
30,c4,2276,6269,50,blog post,7,yes,no,no,
31,c4,2271,599,11,forum post,5,yes,no,no,
32,finepdfs,221,37452,10,government doc,6,yes,no,no,
33,finepdfs,218,22176,256,sports data,4,no,no,no,"table-heavy, broken layout"
34,finepdfs,216,30016,76,product page,5,yes,no,no,
35,fineweb,926,407,2,wikipedia,6,yes,no,no,
36,finepdfs,224,5841,62,wikipedia,8,yes,no,no,
37,c4,2274,995,11,product page,5,yes,no,no,
38,fineweb,924,6373,46,news article,7,yes,no,no,
39,finepdfs,210,3463,11,academic paper,6,yes,no,no,
40,fineweb,935,4852,38,news article,7,yes,no,no,
41,finepdfs,213,3048,28,government doc,5,yes,no,no,
42,finepdfs,214,23151,104,job posting,7,yes,yes,no,recruiter email address visible
43,fineweb,930,3925,35,product page,4,no,no,no,browser upgrade notice mixed in
44,c4,2256,400,4,product page,6,yes,no,no,
45,c4,2265,2560,22,blog post,7,yes,no,no,
46,finepdfs,230,3150,16,government doc,6,yes,no,no,
47,fineweb,919,2560,11,news article,6,yes,no,no,
48,finepdfs,208,12234,123,event listing,5,yes,no,no,
49,c4,2270,952,22,blog post,6,yes,no,no,
50,finepdfs,220,9110,39,academic paper,7,yes,no,no,Chinese language
51,fineweb,914,1127,8,news article,7,yes,no,no,
52,fineweb,928,4792,60,blog post,5,yes,no,no,
53,finepdfs,212,5091,13,financial doc,4,no,no,no,"table-heavy, broken extraction"
54,c4,2258,153,4,blog post,5,yes,no,no,
55,fineweb,934,848,16,product page,3,no,no,no,shopping cart UI fragment
56,finepdfs,232,5390,44,government doc,6,yes,no,no,
57,fineweb,936,4182,35,blog post,6,yes,no,no,
58,fineweb,917,823,5,blog post,6,yes,no,no,
59,fineweb,918,1831,16,news article,7,yes,no,no,
60,fineweb,933,2701,31,blog post,7,yes,no,no,
61,finepdfs,222,2440,1,event listing,4,no,no,no,broken table structure
62,c4,2279,3151,20,blog post,6,yes,no,no,
63,fineweb,921,9564,102,blog post,6,yes,no,no,
64,c4,2261,819,11,academic paper,6,yes,no,no,
65,finepdfs,217,1069,2,academic paper,5,no,no,no,garbled characters in extraction
66,c4,2275,2213,37,forum post,6,yes,no,no,
67,fineweb,932,1233,10,news article,7,yes,no,no,
68,fineweb,912,570,10,blog post,6,yes,no,no,
69,finepdfs,209,805,1,academic paper,5,yes,no,no,
70,finepdfs,231,2993,26,academic paper,7,yes,no,no,
71,c4,2281,3163,25,nav menu,1,no,no,no,SEO spam/gibberish repeated phrases
72,finepdfs,227,4143,23,form,6,yes,no,no,
73,c4,2278,6954,69,blog post,6,yes,no,no,
74,fineweb,937,3722,40,blog post,6,yes,no,no,
75,c4,2264,419,3,product page,5,yes,no,no,
76,c4,2273,2405,24,news article,7,yes,no,no,
77,c4,2257,721,4,product page,6,yes,no,no,
78,fineweb,941,4499,42,blog post,6,yes,no,no,
79,fineweb,939,781,9,blog post,5,yes,no,no,
80,c4,2277,1685,25,blog post,6,yes,no,no,
81,fineweb,915,1286,14,product page,5,yes,no,no,
82,fineweb,916,2276,20,news article,7,yes,no,no,
83,finepdfs,228,3558,25,government doc,6,yes,no,no,
84,c4,2268,1443,15,product page,5,yes,no,no,
85,fineweb,923,2462,17,news article,6,yes,no,no,
86,c4,2262,5959,67,blog post,6,yes,no,no,
87,fineweb,925,5607,74,blog post,7,yes,no,no,
88,fineweb,929,2249,24,blog post,6,yes,no,no,
89,fineweb,940,370,3,nav menu,2,no,no,no,website fragment with partial address
90,finepdfs,205,2333,1,sports data,5,yes,no,no,
91,redpajama,654,1062,9,wikipedia,7,yes,no,no,Spanish language
92,redpajama,655,4877,40,blog post,7,yes,no,no,
93,redpajama,656,520,7,blog post,6,yes,no,no,
94,redpajama,657,5839,59,blog post,7,yes,no,no,
95,redpajama,658,454,7,product page,5,yes,no,no,
96,redpajama,659,5491,86,blog post,7,yes,no,no,
97,redpajama,660,8115,42,news article,7,yes,no,no,
98,redpajama,661,6098,30,news article,7,yes,no,no,
99,redpajama,662,1178,13,blog post,6,yes,no,no,
100,redpajama,663,2318,18,news article,7,yes,no,no,
101,redpajama,664,1857,22,news article,6,yes,no,no,
102,redpajama,665,4556,38,blog post,7,yes,no,no,
103,redpajama,666,3055,18,academic page,7,yes,no,no,
104,redpajama,667,861,12,forum post,4,no,no,no,multiple unrelated Q&A fragments
105,redpajama,668,9631,95,product page,6,yes,no,no,
106,redpajama,669,3777,26,news article,7,yes,no,no,
107,redpajama,670,2094,6,forum post,6,yes,no,no,
108,redpajama,671,859,8,product page,6,yes,no,no,
109,redpajama,672,885,10,product page,5,yes,no,no,
110,redpajama,673,853,9,product page,4,yes,no,no,"investment pitch, vague/spammy"
111,redpajama,674,3416,22,news article,7,yes,no,no,
112,redpajama,675,137,1,wikipedia,5,yes,no,no,"Portuguese language, disambiguation page"
113,redpajama,676,745,8,forum post,5,yes,no,no,
114,redpajama,677,800,27,nav menu,2,no,no,no,"filmography list fragment, no context"
115,redpajama,678,239,3,product page,6,yes,no,no,
116,redpajama,679,1265,19,blog post,6,yes,no,no,
117,redpajama,680,1916,27,product page,5,yes,no,no,
118,redpajama,681,4399,39,blog post,7,yes,no,no,
119,redpajama,682,1009,15,product page,2,no,no,no,"marketing fragment, broken/incomplete"
120,redpajama,683,1444,16,news article,7,yes,no,no,
